Energy use in manufacturing 2011-2021;;;;;;;;;;;
;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Oil;82289;72982;69374;66671;68484;56645;62078;57854;56488;49311;41722
Coal;47894;43982;43385;40498;38154;46720;43889;45886;38932;38502;46107
Natural gas;51424;44863;47503;44018;37284;28391;27947;30499;32166;33079;33954
Peat;12527;10624;9452;10639;9629;8916;8286;8868;8448;6348;5673
Wood fuels;172126;175655;184023;185638;183966;189493;201122;211817;214683;199104;211270
Other energy sources;9262;10635;9114;10176;9443;10528;10508;11851;17133;12447;15506
Net purchases of electricity;119455;113786;112858;112031;109991;112740;112137;113109;108873;106585;109069
Obtained heat;66480;62298;59078;54016;50228;53174;52993;55072;51343;51906;52016
Unit: Energy use (TJ): TJ;;;;;;;;;;;
Source: Statistics Finland, energy use in manufacturing;;;;;;;;;;;